term,Topic,Freq,Term
6231,7,0.03426306876437273,외국인
6940,7,0.11295023154348467,일환으로
7391,7,0.0929124615830992,전통시장
9609,7,0.02311980981630197,화제성이
687,7,0.022942991888629517,721
5892,7,0.0217066889895569,여러분
8280,7,0.14565297576726988,청장
689,7,0.019383842708241898,74
5521,7,0.01650866767821324,아시아경제
3711,7,0.01789416439886181,반영
7267,7,0.018252814073556046,적극
2768,7,0.018200853932309892,독자
852,7,0.017191920932325615,가치
337,7,0.0035743356490099618,20일
2430,7,0.004266873374778276,뉴스1
8931,7,0.01583450782500469,판단
9,7,0.014376652193386956,02
3962,7,0.012010500785628531,보는
7009,7,0.013480810587317092,있다고
485,8,0.7419409857008802,3분기
7888,8,0.3308434476489216,증가
5396,8,0.5852356052949398,실적
6065,8,0.7202739119652187,영업이익
3247,8,0.39994664729708057,매출
2621,8,0.27174308989209695,대비
3237,8,0.6792973067584115,매수
3248,8,0.532771873278747,매출액
2800,8,0.5235299239681387,동기
7310,8,0.558298011121997,전년
3394,8,0.852313169345732,목표주가
6513,8,0.2390103515885729,유지
903,8,0.30723900167427026,감소
6190,8,0.09955011807456078,올해
5955,8,0.17140899810648838,연구
1121,8,0.059231622999407096,것으로
7325,8,0.16851827458686863,전망
2552,8,0.7485656075153636,당기순이익
7914,8,0.04556592398207344,지난
8839,8,0.1411882481673212,투자
1909,8,0.18199414295725297,기간
8846,8,0.5985486521674265,투자증권
1938,8,0.10204675731713095,기록
6106,8,0.1484790155832344,예상
9239,8,0.3305937682992452,한경닷컴
5080,8,0.7886699289565351,순이익
9243,8,0.14459001086513737,한국경제
1002,8,0.13450593183225876,개선
1997,8,0.11952029575343215,기준
6285,8,0.4019980554026301,우리은행
7109,8,0.3113790729272219,작년
1431,8,0.15155228925322659,공시
3303,8,0.5932953640626647,면세점
8629,8,0.9512603046389312,컨센서스
1,8,0.186888995619822,000
2418,8,0.24929433134615364,누적
5050,8,0.11828718185682022,수준
3424,8,0.020006639744419474,무단
1890,8,0.020099846692552936,금지
5243,8,0.05883716580854595,시장
1985,8,0.01538025603419575,기자
4170,8,0.12346197049459211,분석
778,8,0.10680693414494492,가격
6748,8,0.3483364007442481,이익
264,8,0.41196879899763456,1조
4156,8,0.618716721422955,분기
1297,8,0.7457238029286622,고등어
855,8,0.12593025048104836,각각
6671,8,0.050597133908249735,이라고
7204,8,0.018011387675742736,재배포
4371,9,0.4605284187622573,사업
7967,9,0.380453644665845,지원
7958,9,0.29252951000975774,지역
7647,9,0.3669278384039199,조성
8445,9,0.3194815786774154,추진
6104,9,0.5874865779416024,예산
1278,9,0.1868963829729595,계획
7914,9,0.07758924767827656,지난
6330,9,0.3510640580574395,울산
4707,9,0.25730171127672435,선정
6925,9,0.4910894874049193,일자리
7751,9,0.3999276382374672,주민
6315,9,0.17657893826371499,운영
2434,9,0.04798929248191765,뉴시스
7841,9,0.3870883560816628,중소기업
2275,9,0.1911735023011153,내년
4735,9,0.30200170544690197,설치
8763,9,0.533551590781034,태풍
3108,9,0.4375801971366264,마을
1985,9,0.032426276020177204,기자
337,9,0.03533720530176977,20일
6190,9,0.10909372697395904,올해
6701,9,0.0745420729807203,이번
9648,9,0.3227637342751341,활성화
7483,9,0.12205142376276626,정부
4096,9,0.13144997315006116,부산
1121,9,0.060418744536332475,것으로
8260,9,0.40261857143712054,청년
6117,9,0.07914748121509284,예정
1426,9,0.3180143657134706,공사
9325,9,0.061249373395979335,함께
2681,9,0.06366165178755137,대한
3424,9,0.03387449303492197,무단
8838,9,0.40563596961104653,투입
1890,9,0.03342028144008976,금지
7752,9,0.3507134632262747,주민들
7297,9,0.14407122826105626,전국
8164,9,0.1136088983436155,참여
9144,9,0.21480711106525252,피해
7204,9,0.033310842849013665,재배포
1189,9,0.0959047073374138,경기
2624,9,0.1298774031299561,대상
7013,9,0.1500755071553271,있도록
5243,9,0.0942529947931259,시장
1972,9,0.09806736178185309,기업
2430,9,0.033107175211173796,뉴스1
3574,9,0.4063330022677296,민간
993,9,0.12804029811561793,개발
9614,9,0.14728307988811645,확대
8191,9,0.3916581127527086,창출
2687,10,0.6613668973802099,대회
2585,10,0.4763886170045473,대구
9416,10,0.13529864594904664,행사
4096,10,0.16229175703028395,부산
1020,10,0.14778250475682467,개최
8305,10,0.24293026519647537,체험
3240,10,0.5492366826953092,매일신문
7297,10,0.13620091130886958,전국
8048,10,0.05339603226614191,진행
2624,10,0.11977671919254594,대상
4707,10,0.13925582840158676,선정
1418,10,0.3129109524590894,공모
6701,10,0.05311165825008223,이번
2644,10,0.1972095523495316,대전
9241,10,0.06575135498345619,한국
8152,10,0.1576463636003835,참가
2434,10,0.024796019256334692,뉴시스
3094,10,0.09993551674007355,마련
1487,10,0.4153336387549411,과학
2587,10,0.6439634372118758,대구시
9109,10,0.08485510503562359,프로그램
